OldCommandName,NewCommandName
Get-AzureADDirectoryRoleMember,Get-MgDirectoryRoleMember
Get-AzureADDirectoryRoleTemplate,Get-MgDirectoryRoleTemplate
Remove-AzureADDirectoryRoleMember,Remove-MgDirectoryRoleScopedMember
Confirm-AzureADDomain,Confirm-MgDomain
Get-AzureADDomain,Get-MgDomain
Get-AzureADDomainNameReference,Get-MgDomainDomainNameReferenceByRef
Get-AzureADDomainServiceConfigurationRecord,Get-MgDomainServiceConfigurationRecord
Get-AzureADDomainVerificationDnsRecord,Get-MgDomainVerificationDnsRecord
New-AzureADDomain,New-MgDomain
Remove-AzureADDomain,Remove-MgDomain
Set-AzureADDomain,Update-MgDomain
Get-AzureADExtensionProperty,Get-MgDirectoryObjectAvailableExtensionProperty
Add-AzureADGroupMember,New-MgGroupMember
Add-AzureADGroupOwner,New-MgGroupOwnerByRef
Add-AzureADMSLifecyclePolicyGroup,New-MgGroupLifecyclePolicy
Get-AzureADGroup,Get-MgGroup
Get-AzureADGroupAppRoleAssignment,Get-MgGroupAppRoleAssignment
Get-AzureADGroupMember,Get-MgGroupMember
Get-AzureADGroupOwner,Get-MgGroupOwner
Get-AzureADMSGroup,Get-MgGroup
Get-AzureADMSGroupLifecyclePolicy,Get-MgGroupLifecyclePolicy
Get-AzureADMSLifecyclePolicyGroup,Get-MgGroupLifecyclePolicy
New-AzureADGroup,New-MgGroup
New-AzureADGroupAppRoleAssignment,New-MgGroupAppRoleAssignment
New-AzureADMSGroup,New-MgGroup
New-AzureADMSGroupLifecyclePolicy,New-MgGroupLifecyclePolicy
Remove-AzureADGroup,Remove-MgGroup
Remove-AzureADGroupAppRoleAssignment,Remove-MgGroupAppRoleAssignment
Remove-AzureADGroupMember,Remove-MgGroupMemberByRef
Remove-AzureADGroupOwner,Remove-MgGroupOwnerByRef
Remove-AzureADMSGroup,Remove-MgGroup
Remove-AzureADMSGroupLifecyclePolicy,Remove-MgGroupLifecyclePolicy
Remove-AzureADMSLifecyclePolicyGroup,Remove-MgGroupFromLifecyclePolicy
Reset-AzureADMSLifeCycleGroup,Invoke-MgRenewGroup
Select-AzureADGroupIdsGroupIsMemberOf,Get-MgGroupMemberOf
Set-AzureADGroup,Update-MgGroup
Set-AzureADMSGroup,Update-MgGroup
Set-AzureADMSGroupLifecyclePolicy,Update-MgGroupLifecyclePolicy
Get-AzureADOAuth2PermissionGrant,Get-MgOauth2PermissionGrant
Remove-AzureADOAuth2PermissionGrant,Remove-MgOauth2PermissionGrant
Add-AzureADServicePrincipalOwner,New-MgServicePrincipalOwnerByRef
Get-AzureADServiceAppRoleAssignedTo,Get-MgServicePrincipalAppRoleAssignedTo
Get-AzureADServiceAppRoleAssignment,Get-MgServicePrincipalAppRoleAssignment
Get-AzureADServicePrincipal,Get-MgServicePrincipal
Get-AzureADServicePrincipalCreatedObject,Get-MgServicePrincipalCreatedObject
Get-AzureADServicePrincipalKeyCredential,Get-MgServicePrincipal
Get-AzureADServicePrincipalMembership,Get-MgServicePrincipalTransitiveMemberOf
Get-AzureADServicePrincipalOAuth2PermissionGrant,Get-MgServicePrincipalOauth2PermissionGrant
Get-AzureADServicePrincipalOwnedObject,Get-MgServicePrincipalOwnedObject
Get-AzureADServicePrincipalOwner,Get-MgServicePrincipalOwner
Get-AzureADServicePrincipalPasswordCredential,Get-MgServicePrincipal
New-AzureADServiceAppRoleAssignment,New-MgServicePrincipalAppRoleAssignment
New-AzureADServicePrincipal,New-MgServicePrincipal
New-AzureADServicePrincipalKeyCredential,Add-MgServicePrincipalKey
New-AzureADServicePrincipalPasswordCredential,Add-MgServicePrincipalPassword
Remove-AzureADServiceAppRoleAssignment,Remove-MgServicePrincipalAppRoleAssignment
Remove-AzureADServicePrincipal,Remove-MgServicePrincipal
Remove-AzureADServicePrincipalKeyCredential,Remove-MgServicePrincipalKey
Remove-AzureADServicePrincipalOwner,Remove-MgServicePrincipalOwnerByRef
Remove-AzureADServicePrincipalPasswordCredential,Remove-MgServicePrincipalPassword
Select-AzureADGroupIdsServicePrincipalIsMemberOf,Get-MgServicePrincipalMemberOf
Set-AzureADServicePrincipal,Update-MgServicePrincipal
Get-AzureADUser,Get-MgUser
Get-AzureADUserAppRoleAssignment,Get-MgUserAppRoleAssignment
Get-AzureADUserCreatedObject,Get-MgUserCreatedObject
Get-AzureADUserDirectReport,Get-MgUserDirectReport
Get-AzureADUserExtension,Get-MgUserExtension
Get-AzureADUserLicenseDetail,Get-MgUserLicenseDetail
Get-AzureADUserManager,Get-MgUserManager
Get-AzureADUserMembership,Get-MgUserMemberOf
Get-AzureADUserOAuth2PermissionGrant,Get-MgUserOauth2PermissionGrant
Get-AzureADUserOwnedDevice,Get-MgUserOwnedDevice
Get-AzureADUserOwnedObject,Get-MgUserOwnedObject
Get-AzureADUserRegisteredDevice,Get-MgUserRegisteredDevice
Get-AzureADUserThumbnailPhoto,Get-MgUserPhoto
New-AzureADMSInvitation,New-MgInvitation
New-AzureADUser,New-MgUser
New-AzureADUserAppRoleAssignment,New-MgUserAppRoleAssignment
Remove-AzureADUser,Remove-MgUser
Remove-AzureADUserAppRoleAssignment,Remove-MgUserAppRoleAssignment
Remove-AzureADUserExtension,Remove-MgUserExtension
Remove-AzureADUserManager,Remove-MgUserManagerByRef
Revoke-AzureADSignedInUserAllRefreshToken,Invoke-MgInvalidateUserRefreshToken
Revoke-AzureADUserAllRefreshToken,Invoke-MgInvalidateUserRefreshToken
Select-AzureADGroupIdsUserIsMemberOf,Get-MgUserMemberOf
Set-AzureADUser,Update-MgUser
Set-AzureADUserExtension,Update-MgUserExtension
Set-AzureADUserLicense,Set-MgUserLicense
Set-AzureADUserManager,Set-MgUserManagerByRef
Set-AzureADUserPassword,Update-MgUserPassword
Set-AzureADUserThumbnailPhoto,Set-MgUserPhotoContent
Update-AzureADSignedInUserPassword,Update-MgUserPassword
Add-MsolAdministrativeUnitMember,New-MgDirectoryAdministrativeUnitMemberByRef
Add-MsolForeignGroupToRole,
Add-MsolGroupMember,New-MgGroupMember
Add-MsolRoleMember,New-MgDirectoryRoleMemberByRef
Add-MsolScopedRoleMember,New-MgDirectoryRoleScopedMember
Confirm-MsolDomain,Confirm-MgDomain
Confirm-MsolEmailVerifiedDomain,
Connect-MsolService,Connect-MgGraph
Convert-MsolDomainToFederated, New-MgDomainFederationConfiguration
Convert-MsolDomainToStandard,Remove-MgDomainFederationConfiguration
Convert-MsolFederatedUser,
Disable-MsolDevice,Update-MgDevice
Enable-MsolDevice,Update-MgDevice
Get-MsolAccountSku,Get-MgSubscribedSku
Get-MsolAdministrativeUnit,Get-MgDirectoryAdministrativeUnit
Get-MsolAdministrativeUnitMember,Get-MgDirectoryAdministrativeUnitMember
Get-MsolCompanyAllowedDataLocation,
Get-MsolCompanyInformation,Get-MgOrganization
Get-MsolContact,Get-MgContact
Get-MsolDevice,Get-MgDevice
Get-MsolDeviceRegistrationServicePolicy,Get-MgPolicyDeviceRegistrationPolicy
Get-MsolDirSyncConfiguration,Get-MgDirectoryOnPremisSynchronization
Get-MsolDirSyncFeatures,
Get-MsolDirSyncProvisioningError,
Get-MsolDomain,Get-MgDomain
Get-MsolDomainFederationSettings,Get-MgDomainFederationConfiguration
Get-MsolDomainVerificationDns,Get-MgDomainVerificationDnsRecord
Get-MsolFederationProperty,
Get-MsolGroup,Get-MgGroup
Get-MsolGroupMember,Get-MgGroupMember
Get-MsolHasObjectsWithDirSyncProvisioningErrors,
Get-MsolPartnerContract,Get-MgContract
Get-MsolPartnerInformation,
Get-MsolPasswordPolicy,Get-MgDomain
Get-MsolRole,Get-MgDirectoryRole
Get-MsolRoleMember,Get-MgDirectoryRoleMember
Get-MsolScopedRoleMember,Get-MgDirectoryRoleScopedMember
Get-MsolServicePrincipal,Get-MgServicePrincipal
Get-MsolServicePrincipalCredential,Get-MgServicePrincipal
Get-MsolSubscription,Get-MgSubscribedSku
Get-MsolUser,Get-MgUser
Get-MsolUserByStrongAuthentication,Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest
Get-MsolUserRole,Get-MgUserMemberOf
New-MsolAdministrativeUnit,New-MgDirectoryAdministrativeUnit
New-MsolDomain,New-MgDomain
New-MsolFederatedDomain,
New-MsolGroup,New-MgGroup
New-MsolLicenseOptions,Set-MgUserLicense
New-MsolServicePrincipal,New-MgServicePrincipal
New-MsolServicePrincipalAddresses,New-MgServicePrincipal
New-MsolServicePrincipalCredential,Add-MgServicePrincipalKey
New-MsolUser,New-MgUser
New-MsolWellKnownGroup,
Redo-MsolProvisionContact,
Redo-MsolProvisionGroup,
Redo-MsolProvisionUser,
Remove-MsolAdministrativeUnit,Remove-MgDirectoryAdministrativeUnit
Remove-MsolAdministrativeUnitMember,Remove-MgDirectoryAdministrativeUnitScopedRoleMember
Remove-MsolApplicationPassword,Remove-MgApplicationPassword
Remove-MsolContact,Remove-MgContact
Remove-MsolDevice,Remove-MgDevice
Remove-MsolDomain,Remove-MgDomain
Remove-MsolFederatedDomain,
Remove-MsolForeignGroupFromRole,
Remove-MsolGroup,Remove-MgGroup
Remove-MsolGroupMember,Remove-MgGroupMemberByRef
Remove-MsolRoleMember,
Remove-MsolScopedRoleMember,Remove-MgDirectoryRoleScopedMember
Remove-MsolServicePrincipal,Remove-MgServicePrincipal
Remove-MsolServicePrincipalCredential,Remove-MgServicePrincipalKey
Remove-MsolUser,Remove-MgUser
Reset-MsolStrongAuthenticationMethodByUpn,
Restore-MsolUser,Restore-MgUser
Set-MsolADFSContext,
Set-MsolAdministrativeUnit,Update-MgDirectoryAdministrativeUnit
Set-MsolCompanyAllowedDataLocation,
Set-MsolCompanyContactInformation,Update-MgOrganization
Set-MsolCompanyMultiNationalEnabled,
Set-MsolCompanySecurityComplianceContactInformation,Update-MgOrganization
Set-MsolCompanySettings,Update-MgOrganization
Set-MsolDeviceRegistrationServicePolicy,
Set-MsolDirSyncConfiguration,
Set-MsolDirSyncEnabled,Update-MgOrganization
Set-MsolDirSyncFeature,
Set-MsolDomain,Update-MgDomain
Set-MsolDomainAuthentication,New-MgDomainFederationConfiguration
Set-MsolDomainFederationSettings,New-MgDomainFederationConfiguration
Set-MsolGroup,Update-MgGroup
Set-MsolPartnerInformation,
Set-MsolPasswordPolicy,
Set-MsolServicePrincipal,Update-MgServicePrincipal
Set-MsolUser,Update-MgUser
Set-MsolUserLicense,Set-MgUserLicense
Set-MsolUserPassword,Reset-MgUserAuthenticationMethodPassword
Set-MsolUserPrincipalName,Update-MgUser
Update-MsolFederatedDomain,
Get-AzureADMSAuthorizationPolicy,Get-MgPolicyAuthorizationPolicy
Get-AzureADMSGroupPermissionGrant,Get-MgGroupPermissionGrant
Get-AzureADMSRoleAssignment,Get-MgRoleManagementDirectoryRoleAssignment
Get-AzureADMSRoleDefinition,Get-MgRoleManagementDirectoryRoleDefinition
New-AzureADMSPermissionGrantPolicy,New-MgPolicyPermissionGrantPolicy
New-AzureADMSRoleAssignment,New-MgRoleManagementDirectoryRoleAssignment
New-AzureADMSRoleDefinition,New-MgRoleManagementDirectoryRoleDefinition
Remove-AzureADMSRoleAssignment,Remove-MgRoleManagementDirectoryRoleAssignment
Remove-AzureADMSRoleDefinition,Remove-MgRoleManagementDirectoryRoleDefinition
Set-AzureADMSAuthorizationPolicy,Update-MgPolicyAuthorizationPolicy
Set-AzureADMSRoleDefinition,Update-MgRoleManagementDirectoryRoleDefinition
