"Name","Module","GraphCmdName","GraphModuleName","GraphScopesApplication","GraphScopesDelegate","ApiUri"
"Get-AzureADDomainServiceConfigurationRecord","AzureAD","Get-MgDomainServiceConfigurationRecord","Microsoft.Graph.Identity.DirectoryManagement","Domain.Read.All, Domain.ReadWrite.All","Domain.Read.All, Domain.ReadWrite.All",
"Get-AzureADDomainVerificationDnsRecord","AzureAD","Get-MgDomainVerificationDnsRecord","Microsoft.Graph.Identity.DirectoryManagement","Domain.Read.All, Domain.ReadWrite.All","Domain.Read.All, Domain.ReadWrite.All",
"Get-AzureADExtensionProperty","AzureAD","Get-MgDirectoryObjectAvailableExtensionProperty","Microsoft.Graph.DirectoryObjects",,,
"Get-AzureADGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All","Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All",
"Get-AzureADGroupAppRoleAssignment","AzureAD","Get-MgGroupAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","AppRoleAssignment.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADGroupMember","AzureAD","Get-MgGroupMember","Microsoft.Graph.Groups","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All",
"Get-AzureADGroupOwner","AzureAD","Get-MgGroupOwner","Microsoft.Graph.Groups","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All","Directory.Read.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All",
"Get-AzureADMSAdministrativeUnit","AzureAD","Get-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADMSAdministrativeUnitMember","AzureAD","Get-MgDirectoryAdministrativeUnitMember","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADMSApplication","AzureAD","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADMSApplicationExtensionProperty","AzureAD","Get-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All",
"Get-AzureADMSApplicationOwner","AzureAD","Get-MgApplicationOwner","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADMSAuthorizationPolicy","AzureAD","Get-MgPolicyAuthorizationPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All, Policy.ReadWrite.Authorization","Policy.Read.All, Policy.ReadWrite.Authorization",
"Get-AzureADMSConditionalAccessPolicy","AzureAD","Get-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All","Policy.Read.All",
"Get-AzureADMSDeletedDirectoryObject","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All",
"Get-AzureADMSDeletedGroup","AzureAD","Get-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All","AdministrativeUnit.Read.All, AdministrativeUnit.ReadWrite.All, Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, User.Read.All, User.ReadWrite.All",
"Get-AzureADMSGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All","Directory.Read.All, Directory.ReadWrite.All, Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All",
"Get-AzureADMSGroupLifecyclePolicy","AzureAD","Get-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.Read.All, Directory.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADMSGroupPermissionGrant","AzureAD","Get-MgGroupPermissionGrant","Microsoft.Graph.Groups","Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All","Group.Read.All, Group.ReadWrite.All, GroupMember.Read.All, GroupMember.ReadWrite.All",
"Get-AzureADMSIdentityProvider","AzureAD","Get-MgIdentityProvider","Microsoft.Graph.Identity.SignIns","IdentityProvider.Read.All, IdentityProvider.ReadWrite.All","IdentityProvider.Read.All, IdentityProvider.ReadWrite.All",
"Get-AzureADMSLifecyclePolicyGroup","AzureAD","Get-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.Read.All, Directory.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADMSNamedLocationPolicy","AzureAD","Get-MgIdentityConditionalAccessNamedLocation","Microsoft.Graph.Identity.SignIns","Policy.Read.All","Policy.Read.All",
"Get-AzureADMSPermissionGrantConditionSet","AzureAD","Get-MgPolicyPermissionGrantPolicyInclude, Get-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns, Microsoft.Graph.Identity.SignIns","Directory.Read.All, Policy.Read.PermissionGrant","Directory.Read.All, Policy.Read.PermissionGrant",
"Get-AzureADMSPermissionGrantPolicy","AzureAD","Get-MgPolicyPermissionGrantPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.PermissionGrant, Policy.ReadWrite.PermissionGrant","Policy.Read.PermissionGrant, Policy.ReadWrite.PermissionGrant",
"Get-AzureADMSRoleAssignment","AzureAD","Get-MgRoleManagementDirectoryRoleAssignment","Microsoft.Graph.DeviceManagement.Enrolment","Directory.Read.All, Directory.ReadWrite.All, EntitlementManagement.Read.All, EntitlementManagement.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, EntitlementManagement.Read.All, EntitlementManagement.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-AzureADMSRoleDefinition","AzureAD","Get-MgRoleManagementDirectoryRoleDefinition","Microsoft.Graph.DeviceManagement.Enrolment","Directory.Read.All, Directory.ReadWrite.All, EntitlementManagement.Read.All, EntitlementManagement.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory","Directory.Read.All, Directory.ReadWrite.All, EntitlementManagement.Read.All, EntitlementManagement.ReadWrite.All, RoleManagement.Read.Directory, RoleManagement.ReadWrite.Directory",
"Get-AzureADMSScopedRoleMembership","AzureAD","Get-MgUserScopedRoleMemberOf","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADMSServicePrincipalDelegatedPermissionClassification","AzureAD","Get-MgServicePrincipalDelegatedPermissionClassification","Microsoft.Graph.Applications","Application.Read.All, Directory.Read.All","Application.Read.All, Directory.Read.All",
"Get-AzureADOAuth2PermissionGrant","AzureAD","Get-MgOauth2PermissionGrant","Microsoft.Graph.Identity.SignIns","DelegatedPermissionGrant.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","DelegatedPermissionGrant.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADObjectByObjectId","AzureAD","Get-MgDirectoryObjectById","Microsoft.Graph.DirectoryObjects",,,
"Get-AzureADServiceAppRoleAssignedTo","AzureAD","Get-MgServicePrincipalAppRoleAssignedTo","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADServiceAppRoleAssignment","AzureAD","Get-MgServicePrincipalAppRoleAssignment","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADServicePrincipal","AzureAD","Get-MgServicePrincipal","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADServicePrincipalCreatedObject","AzureAD","Get-MgServicePrincipalCreatedObject","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADServicePrincipalKeyCredential","AzureAD","Get-MgServicePrincipal, Get-MgServicePrincipal","Microsoft.Graph.Applications, Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADServicePrincipalMembership","AzureAD","Get-MgServicePrincipalTransitiveMemberOf","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADServicePrincipalOAuth2PermissionGrant","AzureAD","Get-MgServicePrincipalOauth2PermissionGrant","Microsoft.Graph.Applications","DelegatedPermissionGrant.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","DelegatedPermissionGrant.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADServicePrincipalOwnedObject","AzureAD","Get-MgServicePrincipalOwnedObject","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADServicePrincipalOwner","AzureAD","Get-MgServicePrincipalOwner","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADServicePrincipalPasswordCredential","AzureAD","Get-MgServicePrincipal","Microsoft.Graph.Applications","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All","Application.Read.All, Application.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All",
"Get-AzureADSubscribedSku","AzureAD","Get-MgSubscribedSku","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All",
"Get-AzureADTenantDetail","AzureAD","Get-MgOrganization","Microsoft.Graph.Identity.DirectoryManagement","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All","DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, Organization.Read.All, Organization.ReadWrite.All, User.Read",
"Get-AzureADTrustedCertificateAuthority","AzureAD","Get-MgOrganizationCertificateBasedAuthConfiguration","Microsoft.Graph.Identity.SignIns","Organization.Read.All, Organization.ReadWrite.All","Organization.Read.All, Organization.ReadWrite.All",
"Get-AzureADUser","AzureAD","Get-MgUser","Microsoft.Graph.Users","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.Read.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All","DeviceManagementApps.Read.All, DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.Read.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.Read.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.Read.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadBasic.All, User.ReadWrite.All, User.Read, User.ReadWrite",
"Get-AzureADUserAppRoleAssignment","AzureAD","Get-MgUserAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All, Directory.Read.All","AppRoleAssignment.ReadWrite.All, Directory.Read.All, User.ReadBasic.All",
"Get-AzureADUserCreatedObject","AzureAD","Get-MgUserCreatedObject","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, User.Read, User.Read.All, User.ReadWrite, User.ReadWrite.All",
"Get-AzureADUserDirectReport","AzureAD","Get-MgUserDirectReport","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, User.Read, User.Read.All, User.ReadBasic.All, User.ReadWrite.All",
"Get-AzureADUserExtension","AzureAD","Get-MgUserExtension","Microsoft.Graph.Users",,,
"Get-AzureADUserLicenseDetail","AzureAD","Get-MgUserLicenseDetail","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, User.Read, User.Read.All, User.ReadWrite.All",
"Get-AzureADUserManager","AzureAD","Get-MgUserManager","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All",
"Get-AzureADUserMembership","AzureAD","Get-MgUserMemberOf","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, GroupMember.Read.All","Directory.Read.All, Directory.ReadWrite.All, GroupMember.Read.All, User.Read",
"Get-AzureADUserOAuth2PermissionGrant","AzureAD","Get-MgUserOauth2PermissionGrant","Microsoft.Graph.Users","DelegatedPermissionGrant.ReadWrite.All, Directory.Read.All","DelegatedPermissionGrant.ReadWrite.All, Directory.Read.All, User.ReadBasic.All",
"Get-AzureADUserOwnedDevice","AzureAD","Get-MgUserOwnedDevice","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, User.Read, User.Read.All, User.ReadWrite.All",
"Get-AzureADUserOwnedObject","AzureAD","Get-MgUserOwnedObject","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, User.Read, User.Read.All, User.ReadWrite.All",
"Get-AzureADUserRegisteredDevice","AzureAD","Get-MgUserRegisteredDevice","Microsoft.Graph.Users","Directory.Read.All, Directory.ReadWrite.All, User.Read.All, User.ReadWrite.All","Directory.Read.All, Directory.ReadWrite.All, User.Read, User.Read.All, User.ReadWrite.All",
"Get-AzureADUserThumbnailPhoto","AzureAD","Get-MgUserPhoto","Microsoft.Graph.Users",,"User.Read",
"Get-CrossCloudVerificationCode","AzureAD","Confirm-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"New-AzureADApplication","AzureAD","New-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-AzureADApplicationExtensionProperty","AzureAD","New-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-AzureADApplicationKeyCredential","AzureAD","Add-MgApplicationKey","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"New-AzureADApplicationPasswordCredential","AzureAD","Add-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-AzureADApplicationProxyApplication","AzureAD","",,"","",
"New-AzureADApplicationProxyConnectorGroup","AzureAD","",,"","",
"New-AzureADDevice","AzureAD","New-MgDevice","Microsoft.Graph.Identity.DirectoryManagement",,"Directory.AccessAsUser.All",
"New-AzureADDomain","AzureAD","New-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"New-AzureADGroup","AzureAD","New-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"New-AzureADGroupAppRoleAssignment","AzureAD","New-MgGroupAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All","AppRoleAssignment.ReadWrite.All",
"New-AzureADMSAdministrativeUnit","AzureAD","New-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","AdministrativeUnit.ReadWrite.All",
"New-AzureADMSApplication","AzureAD","New-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-AzureADMSApplicationExtensionProperty","AzureAD","New-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-AzureADMSApplicationKey","AzureAD","Add-MgApplicationKey","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"New-AzureADMSApplicationPassword","AzureAD","Add-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-AzureADMSConditionalAccessPolicy","AzureAD","New-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","Application.Read.All, Policy.Read.All, Policy.ReadWrite.ConditionalAccess","Application.Read.All, Policy.Read.All, Policy.ReadWrite.ConditionalAccess",
"New-AzureADMSGroup","AzureAD","New-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"New-AzureADMSGroupLifecyclePolicy","AzureAD","New-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.ReadWrite.All","Directory.ReadWrite.All",
"New-AzureADMSIdentityProvider","AzureAD","New-MgIdentityProvider","Microsoft.Graph.Identity.SignIns","IdentityProvider.ReadWrite.All","IdentityProvider.ReadWrite.All",
"New-AzureADMSInvitation","AzureAD","New-MgInvitation","Microsoft.Graph.Identity.SignIns","Directory.ReadWrite.All, User.Invite.All, User.ReadWrite.All","Directory.ReadWrite.All, User.Invite.All, User.ReadWrite.All",
"New-AzureADMSNamedLocationPolicy","AzureAD","New-MgIdentityConditionalAccessNamedLocation","Microsoft.Graph.Identity.SignIns","Policy.Read.All, Policy.ReadWrite.ConditionalAccess","Policy.Read.All, Policy.ReadWrite.ConditionalAccess",
"New-AzureADMSPermissionGrantConditionSet","AzureAD","New-MgPolicyPermissionGrantPolicyInclude, New-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns, Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.PermissionGrant","Policy.ReadWrite.PermissionGrant",
"New-AzureADMSPermissionGrantPolicy","AzureAD","New-MgPolicyPermissionGrantPolicy","Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.PermissionGrant","Policy.ReadWrite.PermissionGrant",
"New-AzureADMSRoleAssignment","AzureAD","New-MgRoleManagementDirectoryRoleAssignment","Microsoft.Graph.DeviceManagement.Enrolment","EntitlementManagement.ReadWrite.All, RoleManagement.ReadWrite.Directory","EntitlementManagement.ReadWrite.All, RoleManagement.ReadWrite.Directory",
"New-AzureADMSRoleDefinition","AzureAD","New-MgRoleManagementDirectoryRoleDefinition","Microsoft.Graph.DeviceManagement.Enrolment","RoleManagement.ReadWrite.Directory","RoleManagement.ReadWrite.Directory",
"New-AzureADServiceAppRoleAssignment","AzureAD","New-MgServicePrincipalAppRoleAssignment","Microsoft.Graph.Applications","Application.Read.All, AppRoleAssignment.ReadWrite.All, Directory.Read.All","Application.Read.All, AppRoleAssignment.ReadWrite.All, Directory.Read.All",
"New-AzureADServicePrincipal","AzureAD","New-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-AzureADServicePrincipalKeyCredential","AzureAD","New-MgPolicyPermissionGrantPolicy, Add-MgServicePrincipalKey","Microsoft.Graph.Identity.SignIns, Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All, Policy.ReadWrite.PermissionGrant","Application.ReadWrite.All, Directory.ReadWrite.All, Policy.ReadWrite.PermissionGrant",
"New-AzureADServicePrincipalPasswordCredential","AzureAD","Add-MgServicePrincipalPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"New-AzureADTrustedCertificateAuthority","AzureAD","",,"","",
"New-AzureADUser","AzureAD","New-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ReadWrite.All","DeviceManagementApps.ReadWrite.All, DeviceManagementConfiguration.ReadWrite.All, DeviceManagementManagedDevices.ReadWrite.All, DeviceManagementServiceConfig.ReadWrite.All, Directory.ReadWrite.All, User.ReadWrite.All",
"New-AzureADUserAppRoleAssignment","AzureAD","New-MgUserAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All","AppRoleAssignment.ReadWrite.All",
"Remove-AzureADApplication","AzureAD","Remove-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-AzureADApplicationExtensionProperty","AzureAD","Remove-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-AzureADApplicationKeyCredential","AzureAD","Remove-MgApplicationKey","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"Remove-AzureADApplicationOwner","AzureAD","Remove-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"Remove-AzureADApplicationPasswordCredential","AzureAD","Remove-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-AzureADApplicationProxyApplication","AzureAD","",,"","",
"Remove-AzureADApplicationProxyApplicationConnectorGroup","AzureAD","",,"","",
"Remove-AzureADApplicationProxyConnectorGroup","AzureAD","",,"","",
"Remove-AzureADContact","AzureAD","Remove-MgContact","Microsoft.Graph.Identity.DirectoryManagement",,,
"Remove-AzureADContactManager","AzureAD","Remove-MgContactManagerByRef",,"","",
"Remove-AzureADDeletedApplication","AzureAD","Remove-MgDirectoryDeletedItem","Microsoft.Graph.Identity.DirectoryManagement","Application.ReadWrite.All, Directory.ReadWrite.All, Group.ReadWrite.All, User.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All, Group.ReadWrite.All, User.ReadWrite.All",
"Remove-AzureADDevice","AzureAD","Remove-MgDevice","Microsoft.Graph.Identity.DirectoryManagement",,"Directory.AccessAsUser.All",
"Remove-AzureADDeviceRegisteredOwner","AzureAD","Remove-MgDeviceRegisteredOwnerByRef","Microsoft.Graph.Identity.DirectoryManagement",,"Directory.AccessAsUser.All",
"Remove-AzureADDeviceRegisteredUser","AzureAD","",,"","",
"Remove-AzureADDirectoryRoleMember","AzureAD","Remove-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement",,,
"Remove-AzureADDomain","AzureAD","Remove-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","Domain.ReadWrite.All",
"Remove-AzureADGroup","AzureAD","Remove-MgGroup","Microsoft.Graph.Groups","Group.ReadWrite.All","Group.ReadWrite.All",
"Remove-AzureADGroupAppRoleAssignment","AzureAD","Remove-MgGroupAppRoleAssignment","Microsoft.Graph.Applications","AppRoleAssignment.ReadWrite.All","AppRoleAssignment.ReadWrite.All",
"Remove-AzureADGroupMember","AzureAD","Remove-MgGroupMemberByRef","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All, GroupMember.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All, GroupMember.ReadWrite.All",
"Remove-AzureADGroupOwner","AzureAD","Remove-MgGroupOwnerByRef","Microsoft.Graph.Groups","Directory.ReadWrite.All, Group.ReadWrite.All","Directory.ReadWrite.All, Group.ReadWrite.All",
"Remove-AzureADMSAdministrativeUnit","AzureAD","Remove-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","AdministrativeUnit.ReadWrite.All",
"Remove-AzureADMSAdministrativeUnitMember","AzureAD","Remove-MgDirectoryAdministrativeUnitScopedRoleMember","Microsoft.Graph.Identity.DirectoryManagement","RoleManagement.ReadWrite.Directory","RoleManagement.ReadWrite.Directory",
"Remove-AzureADMSApplication","AzureAD","Remove-MgApplication","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-AzureADMSApplicationExtensionProperty","AzureAD","Remove-MgApplicationExtensionProperty","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-AzureADMSApplicationKey","AzureAD","Remove-MgApplicationKey","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"Remove-AzureADMSApplicationOwner","AzureAD","Remove-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All, Directory.ReadWrite.All","Application.ReadWrite.All, Directory.ReadWrite.All",
"Remove-AzureADMSApplicationPassword","AzureAD","Remove-MgApplicationPassword","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
"Remove-AzureADMSApplicationVerifiedPublisher","AzureAD","Clear-MgApplicationVerifiedPublisher","Microsoft.Graph.Applications","Application.ReadWrite.All","Application.ReadWrite.All",
